[1978, 'England', 'New Zealand', 'Scarborough', 'ODI # 52', 'England', '19 runs', 'Jul 15, 1978', 64963]
[1978, 'England', 'New Zealand', 'Manchester', 'ODI # 53', 'England', '126 runs', 'Jul 17, 1978', 64964]
[1978, 'Pakistan', 'India', 'Quetta', 'ODI # 54', 'India', '4 runs', 'Oct 1, 1978', 64165]
[1978, 'Pakistan', 'India', 'Sialkot', 'ODI # 55', 'Pakistan', '8 wickets', 'Oct 13, 1978', 64166]
[1978, 'Pakistan', 'India', 'Sahiwal', 'ODI # 56', 'Pakistan', '', 'Nov 3, 1978', 64167]
[1979, 'Australia', 'England', 'Sydney', 'ODI # 57', 'Draw', 'Draw', 'Jan 13, 1979', 64168]
[1979, 'Australia', 'England', 'Melbourne', 'ODI # 58', 'England', '7 wickets', 'Jan 24, 1979', 64169]
[1979, 'Australia', 'England', 'Melbourne', 'ODI # 59', 'Australia', '4 wickets', 'Feb 4, 1979', 64170]
[1979, 'Australia', 'England', 'Melbourne', 'ODI # 60', 'Australia', '6 wickets', 'Feb 7, 1979', 64171]
[1979, 'India', 'West Indies', 'Birmingham', 'ODI # 61', 'West Indies', '9 wickets', 'Jun 9, 1979', 65050]
[1979, 'New Zealand', 'Sri Lanka', 'Nottingham', 'ODI # 62', 'New Zealand', '9 wickets', 'Jun 9, 1979', 65051]
[1979, 'England', 'Australia', "Lord's", 'ODI # 63', 'England', '6 wickets', 'Jun 9, 1979', 65052]
[1979, 'Canada', 'Pakistan', 'Leeds', 'ODI # 64', 'Pakistan', '8 wickets', 'Jun 9, 1979', 65053]
[1979, 'India', 'New Zealand', 'Leeds', 'ODI # 65', 'New Zealand', '8 wickets', 'Jun 13, 1979', 65054]
[1979, 'Australia', 'Pakistan', 'Nottingham', 'ODI # 66', 'Pakistan', '89 runs', 'Jun 13-14, 1979', 65055]
[1979, 'England', 'Canada', 'Manchester', 'ODI # 67', 'England', '8 wickets', 'Jun 13-14, 1979', 65056]
[1979, 'India', 'Sri Lanka', 'Manchester', 'ODI # 68', 'Sri Lanka', '47 runs', 'Jun 16-18, 1979', 65057]
[1979, 'New Zealand', 'West Indies', 'Nottingham', 'ODI # 69', 'West Indies', '32 runs', 'Jun 16, 1979', 65058]
